Unnamed: 0,prix_eur,prix_m2,type_bien,surface_m2,nb_pieces,nb_chambres,etage,dpe,adresse,code_postal,url,latitude,longitude
29,995000,9660.0,Appartement à vendre,103.0,4.0,2.0,Étage 1/6,D,"Porte Saint Denis-Paradis, Paris 10ème arrondissement (75010)",75010.0,https://www.bellesdemeures.com/273138411/detail.htm,48.875079,2.351787
0,550000,8871.0,Appartement à vendre,62.0,3.0,2.0,Étage 11/12,E,"Bel-Air Nord, Paris 12ème arrondissement (75012)",75012.0,https://www.seloger.com/annonces/achat/appartement/paris-12eme-75/bel-air-nord/271265851.htm,48.851714,2.373001
1,167000,14649.0,Appartement à vendre,11.4,1.0,,Étage 6/6,G,"Saint Gervais, Paris 4ème arrondissement (75004)",75004.0,https://www.seloger.com/annonces/achat/appartement/paris-4eme-75/saint-gervais/271514357.htm,48.855738,2.353971
2,1242000,10098.0,Appartement à vendre - Première occupation,123.0,4.0,3.0,Étage 2/6,C,"Bastille-Popincourt, Paris 11ème arrondissement (75011)",75011.0,https://www.seloger.com/annonces/achat/appartement/paris-11eme-75/bastille-popincourt/271410427.htm,48.858598,2.37658
3,504500,11733.0,Appartement à vendre,43.0,2.0,1.0,Étage 6/7,E,"Batignolles-Cardinet, Paris 17ème arrondissement (75017)",75017.0,https://www.seloger.com/annonces/achat/appartement/paris-17eme-75/batignolles-cardinet/264567537.htm,48.885405,2.31112
4,470000,12533.0,Appartement à vendre,37.5,2.0,1.0,5ème étage,D,"Chateau d'Eau-Lancry, Paris 10ème arrondissement (75010)",75010.0,https://www.seloger.com/annonces/achat/appartement/paris-10eme-75/chateau-d-eau-lancry/271921415.htm,48.870946,2.35855
5,380000,9268.0,Maison de ville à vendre,41.0,3.0,2.0,,F,"Didot-Porte de Vanves, Paris 14ème arrondissement (75014)",75014.0,https://www.seloger.com/annonces/achat/maison/paris-75/271142517.htm,48.82715,2.304565
6,640000,13617.0,Appartement à vendre,47.0,2.0,1.0,Étage 3/6,E,"Saint Merri, Paris 4ème arrondissement (75004)",75004.0,https://www.seloger.com/annonces/achat/appartement/paris-4eme-75/saint-merri/263973667.htm,48.859565,2.352317
7,635000,10410.0,Appartement à vendre,61.0,2.0,1.0,Étage 1/3,D,"Bastille-Popincourt, Paris 11ème arrondissement (75011)",75011.0,https://www.seloger.com/annonces/achat/appartement/paris-11eme-75/bastille-popincourt/270035255.htm,48.858598,2.37658
8,449000,11816.0,Appartement à vendre,38.0,2.0,1.0,Étage 2/5,D,"République-Saint Ambroise, Paris 11ème arrondissement (75011)",75011.0,https://www.seloger.com/annonces/achat/appartement/paris-11eme-75/republique-saint-ambroise/267062435.htm,48.86225,2.377448
9,472000,8906.0,Appartement à vendre,53.0,3.0,2.0,Étage 1/5,E,"Porte Saint Denis-Paradis, Paris 10ème arrondissement (75010)",75010.0,https://www.seloger.com/annonces/achat/appartement/paris-10eme-75/porte-saint-denis-paradis/269787075.htm,48.875079,2.351787
10,975000,12037.0,Appartement à vendre,81.0,3.0,2.0,Étage 3/6,E,"Grandes Carrières-Clichy, Paris 18ème arrondissement (75018)",75018.0,https://www.seloger.com/annonces/achat/appartement/paris-18eme-75/grandes-carrieres-clichy/271668393.htm,48.883624,2.333911
11,650000,16250.0,Appartement à vendre,40.0,2.0,1.0,Étage 4/4,E,"Odéon, Paris 6ème arrondissement (75006)",75006.0,https://www.bellesdemeures.com/271796445/detail.htm,48.850913,2.338698
12,570000,9930.0,Appartement à vendre,57.4,3.0,2.0,Étage 3/6,F,"Vaugirard-Parc des Expositions, Paris 15ème arrondissement (75015)",75015.0,https://www.seloger.com/annonces/achat/appartement/paris-15eme-75/vaugirard-parc-des-expositions/272950729.htm,48.840042,2.303681
13,825000,11777.0,Appartement à vendre,70.1,4.0,2.0,Étage 3/6,E,"Aligre-Gare de Lyon, Paris 12ème arrondissement (75012)",75012.0,https://www.seloger.com/annonces/achat/appartement/paris-12eme-75/aligre-gare-de-lyon/268892667.htm,48.8491,2.371086
14,2150000,12647.0,Maison à vendre,170.0,6.0,4.0,,E,"Jean Moulin-Porte d'Orléans, Paris 14ème arrondissement (75014)",75014.0,https://www.bellesdemeures.com/265894375/detail.htm,48.820915,2.325529
15,500000,9328.0,Appartement à vendre,53.6,3.0,2.0,Étage 3/6,F,"Grandes Carrières-Clichy, Paris 18ème arrondissement (75018)",75018.0,https://www.seloger.com/annonces/achat/appartement/paris-18eme-75/grandes-carrieres-clichy/263920459.htm,48.883624,2.333911
16,460000,8846.0,Appartement à vendre,52.0,3.0,2.0,Étage 1/6,E,"Salpêtrière-Austerlitz, Paris 13ème arrondissement (75013)",75013.0,https://www.seloger.com/annonces/achat/appartement/paris-13eme-75/salpetriere-austerlitz/272319327.htm,48.841038,2.369967
17,325000,9848.0,Appartement à vendre,33.0,2.0,1.0,Étage 5/5,G,"Bel-Air Nord, Paris 12ème arrondissement (75012)",75012.0,https://www.seloger.com/annonces/achat/appartement/paris-12eme-75/bel-air-nord/273465433.htm,48.851714,2.373001
18,840000,11053.0,Appartement à vendre,76.0,4.0,2.0,Étage 1/6,E,Paris 14ème arrondissement (75014),75014.0,https://www.seloger.com/annonces/achat/appartement/paris-14eme-75/272789425.htm,48.830108,2.323026
19,499000,9148.0,Appartement à vendre,54.6,3.0,2.0,Étage 4/7,D,"Vaugirard-Parc des Expositions, Paris 15ème arrondissement (75015)",75015.0,https://www.seloger.com/annonces/achat/appartement/paris-15eme-75/vaugirard-parc-des-expositions/270798079.htm,48.840042,2.303681
20,160000,10892.0,Appartement à vendre,14.7,2.0,1.0,Étage 8/8,D,"Auteuil Sud, Paris 16ème arrondissement (75016)",75016.0,https://www.seloger.com/annonces/achat/appartement/paris-16eme-75/auteuil-sud/270287441.htm,48.850098,2.278011
